id	source	target
860	A329	C444
861	A330	B44
862	A330	C584
863	A331	B205
864	A331	C178
865	A332	B427
866	A332	C428
867	A333	B810
868	A333	C1215
869	A333	C1221
870	A334	B197
871	A334	C537
872	A335	B509
873	A335	C112
874	A335	C113
875	A335	C142
876	A336	B129
877	A336	C33
878	A337	B123
879	A337	C136
880	A337	C137
881	A337	C174
882	A338	B739
883	A338	C1187
884	A339	B835
885	A339	C1203
886	A340	B508
887	A340	C1410
888	A341	B297
889	A341	C836
890	A341	C837
891	A342	B52
892	A342	C949
893	A343	B226
894	A343	B769
895	A343	C627
896	A343	C629
897	A344	B485
898	A344	C234
899	A344	B768
900	A344	C180
901	A344	C200
902	A344	C208
903	A344	C209
904	A345	B529
905	A345	C57
906	A346	B803
907	A346	C1159
908	A346	C1180
909	A346	C1208
910	A347	B150
911	A347	C1227
912	A348	B83
913	A348	C782
914	A348	B389
915	A348	C780
916	A348	C781
917	A348	B439
918	A348	C780
919	A348	C784
920	A349	B377
921	A349	C1457
922	A351	B810
923	A351	C1112
924	A351	C1113
925	A352	B816
926	A352	C1115
927	A353	B47
928	A353	C511
929	A354	B47
930	A354	C715
931	A354	C717
932	A354	B152
933	A354	C716
934	A355	B65
935	A355	C185
936	A356	B682
937	A356	C45
938	A356a	B451
939	A356a	C1129
940	A357	B167
941	A357	C45
942	A358	B570
943	A358	C933
944	A358	B675a
945	A358	C943
946	A359	B497
947	A359	C472
948	A360	B551
949	A360	C22
950	A361	B652
951	A361	C891
952	A361	C1258
953	A362	B177
954	A362	C250
955	A363	B714
956	A363	C9
957	A363	C71
958	A363	C926
959	A364	B750
960	A364	C1045
961	A365	B726
962	A365	C222
963	A365	C223
964	A366	B726
965	A366	C179
966	A367	B673
967	A367	C809
968	A367	C816
969	A367	C817
970	A367	C822
971	A368	B275
972	A368	C1184
973	A369	B462
974	A369	C1314
975	A370	B34
976	A370	C555
977	A371	B513
978	A371	C31
979	A372	B155
980	A372	C630
981	A373	B242
982	A373	C1084
983	A374	B332
984	A374	C1110
985	A374	C1138a
986	A375	B544
987	A375	C660
988	A375	C668
989	A375	C671
990	A375	C682
991	A375	C686
992	A375	C687
993	A375	C694
994	A375	C697
995	A376	B492
996	A376	C290
997	A377	B772
998	A377	C1097
999	A378	B557
1000	A378	C1163
1001	A378	C1164
1002	A379	B163
1003	A379	C1338
1004	A380	B148
1005	A380	C729
1006	A380	C739
1007	A381	B814
1008	A381	C328
1009	A381	C330
1010	A381	C914
1011	A382	B125
1012	A382	C1084
1013	A383	B745
1014	A383	C247
1015	A383	C740
1016	A384	B665
1017	A384	C1096
1018	A385	B758
1019	A385	C1339
1020	A386	B512
1021	A386	C701
1022	A386	C702
1023	A387	B222
1024	A387	C864
1025	A388	B45
1026	A388	C1052
1027	A388	C1071
1028	A389	B513
1029	A389	C14
1030	A389	C15
1031	A389	C16
1032	A390	B285
1033	A390	C898
1034	A390	C899
1035	A391	B408
1036	A391	C1248
1037	A392	B70
1038	A392	C28
1039	A393	B197
1040	A393	C554
1041	A393	B476
1042	A393	C1231
1043	A393	C1234
1044	A394	B196
1045	A394	C1446
1046	A394	C1454
1047	A394	B515
1048	A394	C1454
1049	A394	B808
1050	A394	C1446
1051	A394	C1454
1052	A394a	B649
1053	A394a	C56
1054	A395	B841
1055	A395	C1121
1056	A396	B756
1057	A396	C952
1058	A397	B177
1059	A397	C1464
1060	A398	B490
1061	A398	B637
1062	A398	B791
