id	source	target
623	B433	C581
624	B433	C1003
625	B433	C1253
626	B433	C1259
627	B433	C1267
628	B434	A714
629	B434	A908
630	B434	C438
631	B434	C440
632	B434	C441
633	B435	A1131
634	B435	C8
635	B435	C21
636	B435	C26
637	B435	C27
638	B435	C35
639	B436	A207
640	B436	A568
641	B436	A767
642	B436	A1084
643	B436	A1085
644	B436	A1184
645	B436	A1267
646	B436	A1420
647	B436	A1426
648	B436	A1443
649	B436	A2090
650	B436	C844847850
651	B436	C852
652	B436	C856
653	B436	C857
654	B436	C863
655	B436	C864
656	B436	C865
657	B437	A706
658	B437	C94
659	A180a	B527
660	A180a	C1457
661	A181	B505
662	A181	C1058
663	A181	C1063
664	A182	B376
665	A182	C277
666	A182	B615
667	A182	C304
668	A183	B613
669	A183	C316
670	A184	B263
671	A184	C562
672	A185	B694
673	A185	C445
674	A186	B460
675	A186	C788
676	A187	B459
677	A187	C354
678	A188	B662
679	A188	C1330
680	A189	B214
681	A189	C984
682	A189	C995
683	A189	B838
684	A189	C961
685	A190	B441
686	A190	C1119
687	A191	B692
688	A191	C920
689	A192	B472
690	A192	C315
691	A193	B328
692	A193	C204
693	A194	B473
694	A194	C989
695	A195	B1
696	A195	C17
697	A196	B297
698	A196	C850
699	A196	C861
700	A196	C864
701	A197	B166
702	A197	C1457
703	A198	B236
704	A198	C93
705	A198	C94
706	A199	B123
707	A199	C762
708	A199	C763
709	A200	B484
710	A200	C232
711	A200	C334
712	A201	B61
713	A201	C905
714	A202	B290
715	A202	C1121
716	A203	B60
717	A203	C33
718	A204	B730
719	A204	C1148
720	A205	B473
721	A205	C139
722	A206	B174
723	A206	C956
724	A206	C963
725	A206	C983
726	A207	B436
727	A207	C857
728	A208	B475
729	A208	C165
730	A209	B630
731	A209	C387
732	A210	B613
733	A210	C316
734	A211	B95
735	A211	C1117
736	A212	B754
737	A212	C1097
738	A212	C1131
739	A213	B89
740	A213	C1247
741	A214	B540
742	A214	C1079
743	A214	C1080
744	A214	C1082
745	A215	B314
746	A215	C884
747	A216	B95
748	A216	C1117
749	A217	B9
750	A217	C347
751	A217	C348
752	A218	B418
753	A218	C778
754	A219	B510
755	A219	C834
756	A220	B271
757	A220	C7
758	A220	C22
759	A220	B382
760	A220	C22
761	A221	B816
762	A221	C1117
763	A222	B384
764	A222	C1051
765	A223	B699
766	A223	C1209
767	A224	B811
768	A224	C1457
769	A225	B578
770	A225	C603
771	A225	C635
772	A226	B365
773	A226	C71
774	A227	B376
775	A227	C959
776	A227	C965
777	A227	C971
778	A228	B775
779	A228	C853
780	A449	B173
781	A449	C748
782	A450	B825
783	A450	C1460
784	A451	B83
785	A451	C799
786	A452	B540
787	A452	C1085
788	A453	B572
789	A453	C1438
790	A453	C1443
791	A454	B554
792	A454	C1052
793	A454	C1071
794	A455	B197
795	A455	C541
796	A456	B99
797	A456	C112
798	A457	B539
799	A457	C1084
800	A458	B262
801	A458	C1264
802	A458	C1266
803	A459	B44
804	A459	C592a
805	A459a	B360
806	A459a	C1458
807	A460	B479
808	A460	C1309
809	A461	B14
810	A461	C571
811	A461	C609
812	A461	C781
813	A462	B729
814	A462	C168
815	A462	C490
816	A462	C491
817	A462	C492
818	A462	C522
819	A462	C524
820	A462	C525
821	A463	B122
822	A463	C367
823	A463	C444
824	A463	B646
825	A463	C387
826	A463	C401
827	A464	B8
828	A464	C262
829	A464	C274
830	A465	B795
831	A465	C1039
832	A466	B657
833	A466	C302
834	A466	C318
835	A466	C320
836	A467	B787
837	A467	C1459
838	A468	B262
839	A468	C662
840	A468	C692
841	A468	B416
842	A468	C1265
843	A469	B235
844	A469	C1373
845	A469	C1374
846	A470	B513
847	A470	C19
848	A471	B837
849	A471	C910
850	A471	C911
851	A471	C921
852	A471	C938
853	A471	C943
854	A472	B808
855	A472	C1446
856	A472	C1454
857	A474	B784
858	A474	C1089
859	A474	C1092
860	A474	C1093
861	A474	C1094
862	A474	C1095
863	A475	B538
864	A475	C979
865	A476	B306
866	A476	C858
867	A477	B531
868	A477	C610
869	A478	B475
870	A478	C58
871	A478	C60
872	A479	B811
873	A479	C1458
874	A480	B544
875	A480	C664
876	A481	B196
877	A481	C1454
878	A482	B613
879	A482	C311
880	A483	B181
881	A483	C988
882	A484	B92
883	A484	C1215
884	A485	B52
885	A485	C949
886	A486	B228
887	A486	C321
888	A486	C1099a
889	A486	C1100
890	A486	C1101
891	A487	B614
892	A487	C359
893	A488	B243
894	A488	C418
895	A489	B646
896	A489	C235
897	A489	C678
898	A490	B442
899	A490	C1221
900	A491	B302
901	A491	C784
902	A491	C797
903	A491	B492
904	A491	C785
905	A492	B160
906	A492	C325
907	B288	A12a
908	B288	A99
909	B288	A1465
910	B288	C1457
911	B288	C1458
912	B289	A1067
913	B289	A1081
914	B289	A1319
915	B289	A1343
916	B289	A1898
917	B289	C1074
918	B289	C1174
919	B289	C1176
920	B289	C1178
921	B289	C1179
922	B289	C1186
923	B289	C11871193
924	B289	C1211
925	B290	A143
926	B290	A202
927	B290	A324
928	B290	A911
929	B290	A965
930	B290	A1534
931	B290	C1117
932	B290	C1121
933	B291	A557
934	B291	A999
935	B291	C1283
936	B291	C1464
937	B292	A317
938	B292	A1875
939	B292	C416
940	B292	C447
941	B292	C504
942	B292	C637
943	B293	A1039
944	B293	C1131
945	B294	A529
946	B294	C945
947	B295	A536
948	B295	C1238
949	B296	A1151
950	B296	C589
951	B297	A196
952	B297	A314
953	B297	A341
954	B297	A749
955	B297	A942
956	B297	A955
957	B297	A1381
958	B297	A1382
959	B297	A1540
960	B297	A1693
961	B297	A1855
962	B297	A1857
963	B297	A2025
964	B297	C836
965	B297	C837
966	B297	C840
967	B297	C845
968	B297	C846
969	B297	C847
970	B297	C849
971	B297	C850
972	B297	C851
973	B297	C855
974	B297	C856
975	B297	C859
976	B297	C861
977	B297	C862
978	B297	C864866
979	B297	C867
980	B297	C870
981	B298	A1671
982	B298	C850
983	B299	A689
984	B299	A936
985	B299	C1156
986	B299	C1157
987	B300	A158
988	B300	A1143
989	B300	A1488
990	B300	C1177
991	B301	A133
992	B301	C1192
993	B302	A491
994	B302	A1007
995	B302	A1513
996	B302	A1556
997	B302	A1603
998	B302	C784
999	B302	C793
1000	B302	C797
1001	B302	C808
1002	B302	C1150
1003	B302	C1391
1004	B303	A662
1005	B303	A704
1006	B303	C1117
1007	B303	C1177
1008	B304	A989
1009	B304	A1440
1010	B304	A1915
1011	B304	C420
1012	B304	C429
1013	B304	C434
1014	B305	A258
1015	B305	A605
1016	B305	A1498
1017	B305	C7
1018	B305	C18
1019	B305	C22
1020	B306	A404
1021	B306	A476
1022	B306	C858
1023	B307	A1094
1024	B307	A697
1025	B307	A730
1026	B307	A746
1027	B307	A827
1028	B308	A32
1029	B308	A39
1030	B308	A284
1031	B308	A414
1032	B308	A956
1033	B308	A1663
1034	B308	A1877
1035	B308	A1978
1036	B308	C905
1037	B308	C906
1038	B308	C913
1039	B308	C917
1040	B308	C920
1041	B308	C926
1042	B308	C9271035
1043	B310	A1585
1044	B310	C740
1045	B311	A400
1046	B311	A526
1047	B311	A604
1048	B311	A746
1049	B311	A948
1050	B311	A2130
1051	B311	C1115
1052	B311	C1120
1053	B311	C1127
1054	B311	C1142
1055	B311	C1151
1056	B311	C1157
1057	B311	C1179
1058	B311	C1182
1059	B311	C1186
1060	B312	A245
1061	B312	A246
1062	B312	C106
1063	B312	C109
1064	B313	A1002
1065	B313	A1847
1066	B313	A2054
1067	B313	C476
1068	B313	C888
1069	B313	C953
1070	B314	A215
1071	B314	A773
1072	B314	C772
1073	B314	C773
1074	B314	C884
1075	B315	A441
1076	B315	C23
1077	B315	C77
1078	B316	A1861
1079	B316	C813
1080	B316	C818
1081	B316	C1137
1082	A89	B815
1083	A89	C506
1084	A90	B541
1085	A90	C905
1086	A90	C946
1087	A91	B396
1088	A91	C450
1089	A92	B565
1090	A92	C1360
1091	A93	B605
1092	A93	C1074
1093	A94	B328
1094	A94	C194
1095	A95	B726
1096	A95	C178
1097	A96	B759
1098	A96	C12
1099	A97	B689
1100	A97	C418
1101	A98	B155
1102	A98	C563
1103	A99	B161
1104	A99	B288
1105	A99	B361
1106	A99	C1457
1107	A100	B246
1108	A100	C627
1109	A100	B741
1110	A100	C627
1111	A101	B78
1112	A101	C1247
1113	A102	B674
1114	A102	C1108
1115	A103	B719
1116	A103	C562
1117	A104	B740
1118	A104	C952
1119	A104	C1356
1120	A105	B451
1121	A105	C1210
1122	A106	B117
1123	A106	C873
1124	A106	C875
1125	A106	C876
1126	A107	B806
1127	A107	C258
1128	A108	B387
1129	A108	C956
1130	A108	C972
1131	A109	B393
1132	A109	C639
1133	A110	B250
1134	A110	C562
1135	A111	B241
1136	A111	C465
1137	A112	B747
1138	A112	C495
1139	A112	C660
1140	A113	B15
1141	A113	C654
1142	A114	B215
1143	A114	C574
1144	A114	C580
1145	A115	B559
1146	A115	C1276
1147	A116	B496
1148	A116	C887
1149	A116	C893
1150	A117	B383
1151	A117	C351
1152	A117	C369
1153	A117	B614
1154	A117	C343
1155	A117	C351
1156	A117	C369
1157	A117	C373
1158	A117	C374
1159	A118	B416
1160	A118	C403
1161	A118	C761
1162	A119	B645
1163	A119	C1279
1164	A120	B160
1165	A120	C808
1166	A120	B226
1167	A120	C780
1168	A120	C781
1169	A120	B508
1170	A120	C1408
1171	A121	B495
1172	A121	C1359
1173	A122	B797
1174	A122	C872
1175	A123	B475
1176	A123	C778
1177	A123	C807
1178	A124	B843
1179	A124	C682
1180	A124	C694
1181	A125	B603
1182	A125	C1095
1183	A126	B603
1184	A126	C1185
1185	A127	B794
1186	A127	C809
1187	A127	C810
1188	A127	C816
1189	A127	C817
1190	A127	C823
1191	A128	B89
1192	A128	C1145
1193	A129	B207
1194	A129	C1169
1195	A130	B31
1196	A130	C1297
1197	A131	B105
1198	A131	C103
1199	A131	C111
1200	A131	C378
1201	A989	B304
1202	A989	C434
1203	A989a	B701a
1204	A989a	C180
1205	A990	B782
1206	A990	C776
1207	A991	B366
1208	A991	C781
1209	A991	B789
1210	A991	C781
1211	A991	C784
1212	A992	B793
1213	A992	C83
1214	A993	B796
1215	A993	C522
1216	A994	B615
1217	A994	C276
1218	A995	B256
1219	A995	C1077
1220	A995	C1080
1221	A995	C1081
1222	A995	C1082
1223	A997	B179
1224	A997	C933
1225	A997	C946
1226	A998	B397
1227	A998	C344
1228	A998	C346
1229	A998	C375
1230	A998	C448
1231	A998	C454
1232	A998	C464
1233	A998	C466
1234	A999	B291
1235	A999	C1464
1236	A1000	B762
1237	A1000	C934
1238	A1001	B707
1239	A1001	C557
1240	A1001	C558
1241	A1002	B313
1242	A1002	C888
1243	A1003	B364
1244	A1003	C59
1245	A1003	C905
1246	A1004	B48
1247	A1004	B588
1248	A1004	C1283
1249	A1005	B483
1250	A1005	C385
1251	A1005	C462
1252	A1006	B76
1253	A1006	C1432
1254	A1007	B302
1255	A1007	C784
1256	A1007	C797
1257	A1007	C1150
1258	A1007	B818
1259	A1007	C506
1260	A1008	B397
1261	A1008	C474
1262	A1008	C706
1263	A1009	B64
1264	A1009	C1131
1265	A1009	C1132
1266	A1009	C1215
1267	A1010	B848
1268	A1010	C1084
1269	A1011	B358
1270	A1011	C686
1271	A1012	B267
1272	A1012	B632
1273	A1012	C7
1274	A1013	B397
1275	A1013	C478
1276	A1014	B345
1277	A1014	C469
1278	A1015	B635
1279	A1015	C1117
1280	A1016	B551
1281	A1016	C22
1282	A1017	B344
1283	A1017	C1079
1284	A1018	B743
1285	A1018	C1117
1286	A1018	C1123
1287	A1018	C1130
1288	A1019	B595
1289	A1019	C1154
1290	A1019	C1158
1291	A1019	C1179
1292	A1019	C1190
1293	A1019	C1219
1294	A1020	B250
1295	A1020	B265
1296	A1020	C562
1297	A1021	B195
1298	A1021	C588
1299	A1022	B558
1300	A1022	C627
1301	A1022	C629
1302	A1023	B743
1303	A1023	C1194
1304	A1024	B158
1305	A1024	C133
1306	A1024	C135
1307	A1025	B841
1308	A1025	C1111
1309	A1025	C1135
1310	A1026	B131
1311	A1026	C1337
1312	A1027	B93
1313	A1027	C1187
1314	A1028	B257
1315	A1028	C94
1316	A1028	C99
1317	A1028	C100
1318	A1028	C103
1319	A1028	C118
1320	A1029	B37
1321	A1029	C1367
1322	A1029	C1371
1323	A1030	B66
1324	A1030	C722
1325	A1072	B358
1326	A1072	C816
1327	A1073	B433
1328	A1073	C1253
1329	A1073	C1259
1330	A1076	B815
1331	A1076	C83
1332	A1077	B449
1333	A1077	C1185
1334	A1078	B443
1335	A1078	C972
1336	A1079	B583
1337	A1079	C1352
1338	A1080	B24
1339	A1080	C1059
1340	A1080	C1061
1341	A1081	B289
1342	A1081	C1186
1343	A1082	B236
1344	A1082	C363
1345	A1083	B778
1346	A1083	C934
1347	A1084	B436
1348	A1084	C850
1349	A1085	B436
1350	A1085	C847
1351	A1085	C864
1352	A1086	B399
1353	A1086	C1074
1354	A1086	C1138
1355	A1086	C1139
1356	A1087	B89
1357	A1087	C1117
1358	A1088	B540
1359	A1088	C1102
1360	A1089	B596
1361	A1089	C194
1362	A1090	B122
1363	A1090	C355
1364	A1090	B727
1365	A1090	C354
1366	A1091	B362
1367	A1091	C601
1368	A1092	B284
1369	A1092	C1431
1370	A1093	B54
1371	A1093	C1436
1372	A1094	B307
1373	A1094	C827
1374	A1095	B584
1375	A1095	C178
1376	A1095	C378
1377	A1096	B572
1378	A1096	C1440
1379	A1097	B816
1380	A1097	C1117
1381	A1097	C1138
1382	A1098	B783
1383	A1098	C1097
1384	A1099	B410
1385	A1099	C1269
1386	A1099	C1270
1387	A1100	B30
1388	A1100	C858
1389	A1101	B437a
1390	A1101	C1052
1391	A1101	C1071
1392	A1102	B707
1393	A1102	C543
1394	A1102	C549
1395	A1102	C1288
1396	A1103	B664
1397	A1103	C50
1398	A1103	C51
1399	A1103	C53
1400	A1104	B780
1401	A1104	C1335
1402	A1105	B256
1403	A1105	C1079
1404	A1105	C1080
1405	A1105	C1082
1406	A1106	B605
1407	A1106	C1168
1408	A1107	B463
1409	A1107	C1209
1410	A1107	C1217
1411	A1108	B576
1412	A1108	C1117
1413	A1109	B719
1414	A1109	C562
1415	A1110	B44
1416	A1110	C621
1417	A1111	B267
1418	A1111	C7
1419	A1112	B404
1420	A1112	C487
1421	A1113	B556
1422	A1113	C1054
1423	A1114	B687
1424	A1114	C562
1425	A1115	B513
1426	A1115	C7
1427	A1116	B612
1428	A1116	C1157
1429	A1117	B726
1430	A1117	C209
1431	B317	A1580
1432	B317	C753
1433	B318	A639
1434	B318	C998
1435	B319	A51
1436	B319	A1774
1437	B319	A1999
1438	B319	C562
1439	B319	C627
1440	B319a	A1389a
1441	B319a	C1084
1442	B320	A944
1443	B320	A1741
1444	B320	A2172
1445	B320	C1108
1446	B320	C1109
1447	B320	C1117
1448	B321	A1415
1449	B321	C600
1450	B322	A1250
1451	B322	C1463
1452	B323	A44
1453	B323	A659
1454	B323	A2032
1455	B323	C71
1456	B323	C933
1457	B324	A1939
1458	B324	C1108
1459	B324	C1110
1460	B324	C1114
1461	B324	C1115
1462	B324	C1138
1463	B324	C1138a
1464	B324	C1141
1465	B324	C1151
1466	B325	A1611
1467	B325	C1108
1468	B326	A275
1469	B326	A1455
1470	B326	A1659
1471	B326	A1748
1472	B326	A1804
1473	B326	C1450
1474	B326	C1451
1475	B326	C1452
1476	B326	C1453
1477	B327	A1736
1478	B327	A1965
1479	B327	C1120
1480	B327	C1123
1481	B327	C1145
1482	B328	A94
1483	B328	A193
1484	B328	A1205
1485	B328	C182
1486	B328	C194
1487	B328	C200
1488	B328	C204
1489	B329	A1910
1490	B329	C198
1491	B330	A1685
1492	B330	C246
1493	B330	C248
1494	B330	C332
1495	B331	A1832
1496	B331	C1463
1497	B332	A374
1498	B332	A403
1499	B332	A574
1500	B332	A805
1501	B332	A1349
1502	B332	C1110
1503	B332	C1118
1504	B332	C1119
1505	B332	C1121
1506	B332	C1123
1507	B332	C1125
1508	B332	C1138a
1509	B333	A932
1510	B333	A1447
1511	B333	A1704
1512	B333	A1796
1513	B333	A1856
1514	B333	C1074
1515	B333	C1117
1516	B333	C1120
1517	B333	C1147
1518	B333	C1152
